feature,legitimate_mean,phishing_mean,ratio
n_insecure_urls,0.245,1.908,7.8
has_ip_url,0.069,0.497,7.18
has_html_anchor,0.077,0.404,5.22
generic_greeting,0.169,0.837,4.95
credential_hits,1.344,6.5,4.84
n_exclamations,0.23,1.11,4.83
reward_hits,0.256,1.221,4.77
subject_urgency_hits,0.15,0.671,4.48
sender_domain_hyphens,0.188,0.838,4.46
sender_is_role_account,0.188,0.838,4.46
body_urgency_hits,0.896,3.191,3.56
n_urls,0.848,2.13,2.51
subject_caps_ratio,0.061,0.121,1.99
max_url_path_depth,1.285,2.271,1.77
sender_domain_len,19.624,23.889,1.22
body_word_count,86.983,95.382,1.1
sender_subdomain_depth,1.0,1.0,1.0
