id,sender,clean_subject,clean_body,clean_text,label
247,billing@notice-center.example.net,Information you requested,"Hi all, The office will be closed on Monday for the scheduled facilities maintenance. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. The sprint retrospective has been moved to Thursday at eleven in the morning. Let me know if Tuesday afternoon works for the client walkthrough. The quarterly compliance training window opens at the start of next month. !","Information you requested Hi all, The office will be closed on Monday for the scheduled facilities maintenance. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. The sprint retrospective has been moved to Thursday at eleven in the morning. Let me know if Tuesday afternoon works for the client walkthrough. The quarterly compliance training window opens at the start of next month. !",1
1980,service-desk@id-confirm.example.net,Security Alert: Unusual Login Detected,"Dear Customer, Confirm your password to restore full access to the customer portal. You have been selected to receive a limited time reward, claim it before it expires. Act now, this security notice will expire in a few hours. Regards and best wishes for the week ahead. Our security team detected an unauthorised attempt from a foreign IP address. Click here to verify","Security Alert: Unusual Login Detected Dear Customer, Confirm your password to restore full access to the customer portal. You have been selected to receive a limited time reward, claim it before it expires. Act now, this security notice will expire in a few hours. Regards and best wishes for the week ahead. Our security team detected an unauthorised attempt from a foreign IP address. Click here to verify",1
1165,security@security-alert.example.net,Agenda for Friday's steering committee,"Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Thank you for your time and attention to this matter. A payment of nine hundred dollars is awaiting your authorisation. Kindly refer to the details provided below. Please find attached the minutes from yesterday's project review meeting.","Agenda for Friday's steering committee Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Thank you for your time and attention to this matter. A payment of nine hundred dollars is awaiting your authorisation. Kindly refer to the details provided below. Please find attached the minutes from yesterday's project review meeting.",0
551,support@mail-service.example.net,Information you requested,"Dear Customer, We could not process your last payment, please resubmit your card details. Your package could not be delivered, reschedule using the tracking link. We appreciate your continued cooperation. Your account has been temporarily suspended due to unusual sign in activity. Thank you for your time and attention to this matter. !!","Information you requested Dear Customer, We could not process your last payment, please resubmit your card details. Your package could not be delivered, reschedule using the tracking link. We appreciate your continued cooperation. Your account has been temporarily suspended due to unusual sign in activity. Thank you for your time and attention to this matter. !!",1
271,r.krishnan@corp.example.com,Facilities maintenance - office closed Monday,"Hi Arun, I have shared the updated budget worksheet on the team drive for your comments. We will need one more reviewer before this pull request can be merged. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Kindly refer to the details provided below. Failure to respond will result in the immediate closure of your account. The design team has uploaded the latest mockups for a second opinion.","Facilities maintenance - office closed Monday Hi Arun, I have shared the updated budget worksheet on the team drive for your comments. We will need one more reviewer before this pull request can be merged. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Kindly refer to the details provided below. Failure to respond will result in the immediate closure of your account. The design team has uploaded the latest mockups for a second opinion.",0
998,n.banerjee@finance.example.com,Updated budget worksheet for comment,"Hi Priya, Verify your details using the form attached to this message. Please review the risk register before Friday's steering committee call. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked.","Updated budget worksheet for comment Hi Priya, Verify your details using the form attached to this message. Please review the risk register before Friday's steering committee call. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked.",0
1339,team.updates@corp.example.com,Facilities maintenance - office closed Monday,"Hi Sam, The quarterly compliance training window opens at the start of next month. Let me know if Tuesday afternoon works for the client walkthrough. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session.","Facilities maintenance - office closed Monday Hi Sam, The quarterly compliance training window opens at the start of next month. Let me know if Tuesday afternoon works for the client walkthrough. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session.",0
2443,alerts@notice-center.example.net,Security Alert: Unusual Login Detected,"Dear Customer, This is your final notice regarding the pending transaction on your account. A payment of nine hundred dollars is awaiting your authorisation. Our security team detected an unauthorised attempt from a foreign IP address. You have been selected to receive a limited time reward, claim it before it expires. The document is waiting for your signature and expires at midnight tonight. Your package could not be delivered, reschedule using the tracking link. Click here to verify !!!","Security Alert: Unusual Login Detected Dear Customer, This is your final notice regarding the pending transaction on your account. A payment of nine hundred dollars is awaiting your authorisation. Our security team detected an unauthorised attempt from a foreign IP address. You have been selected to receive a limited time reward, claim it before it expires. The document is waiting for your signature and expires at midnight tonight. Your package could not be delivered, reschedule using the tracking link. Click here to verify !!!",1
1927,r.krishnan@partners.example.com,Facilities maintenance - office closed Monday,"Hi Arun, We will need one more reviewer before this pull request can be merged. Please find attached the minutes from yesterday's project review meeting. Further information is available on request. I have added your name to the distribution list for the monthly newsletter.","Facilities maintenance - office closed Monday Hi Arun, We will need one more reviewer before this pull request can be merged. Please find attached the minutes from yesterday's project review meeting. Further information is available on request. I have added your name to the distribution list for the monthly newsletter.",0
73,s.iyer@vendor.example.org,Sprint retrospective moved to Thursday,"Hi Sam, The office will be closed on Monday for the scheduled facilities maintenance. Regards and best wishes for the week ahead. Further information is available on request. Click the secure link below to confirm your login credentials immediately. Attaching the agenda so everyone can add items ahead of the session. Attaching the agenda so everyone can add items ahead of the session. Our supplier has confirmed the revised delivery schedule for next quarter. Please find attached the minutes from yesterday's project review meeting. Our supplier has confirmed the revised delivery schedule for next quarter. Recruitment has scheduled three interviews for the analyst position.","Sprint retrospective moved to Thursday Hi Sam, The office will be closed on Monday for the scheduled facilities maintenance. Regards and best wishes for the week ahead. Further information is available on request. Click the secure link below to confirm your login credentials immediately. Attaching the agenda so everyone can add items ahead of the session. Attaching the agenda so everyone can add items ahead of the session. Our supplier has confirmed the revised delivery schedule for next quarter. Please find attached the minutes from yesterday's project review meeting. Our supplier has confirmed the revised delivery schedule for next quarter. Recruitment has scheduled three interviews for the analyst position.",0
237,verification@secure-verify.example.net,Final Notice: Payment Authorisation Pending,"Dear Customer, Confirm your password to restore full access to the customer portal. Act now, this security notice will expire in a few hours. Reply with your employee ID and one time passcode to complete the check. Your package could not be delivered, reschedule using the tracking link. Click the secure link below to confirm your login credentials immediately.","Final Notice: Payment Authorisation Pending Dear Customer, Confirm your password to restore full access to the customer portal. Act now, this security notice will expire in a few hours. Reply with your employee ID and one time passcode to complete the check. Your package could not be delivered, reschedule using the tracking link. Click the secure link below to confirm your login credentials immediately.",1
394,security@customer-desk.example.net,Congratulations! Claim Your Reward Today,"Hi Arun, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The release notes for version four have been published on the internal wiki. Your account has been temporarily suspended due to unusual sign in activity. !","Congratulations! Claim Your Reward Today Hi Arun, A payment of nine hundred dollars is awaiting your authorisation. This is your final notice regarding the pending transaction on your account. The release notes for version four have been published on the internal wiki. Your account has been temporarily suspended due to unusual sign in activity. !",1
1377,security@secure-verify.example.net,Information you requested,"Dear Customer, This message relates to the reference number quoted above. Failure to respond will result in the immediate closure of your account. Kindly refer to the details provided below. The document is waiting for your signature and expires at midnight tonight. Verify your details using the form attached to this message. Click the secure link below to confirm your login credentials immediately. Urgent action is required to keep your subscription active. Please let me know if you need anything else from my side. Urgent action is required to keep your subscription active. !!!","Information you requested Dear Customer, This message relates to the reference number quoted above. Failure to respond will result in the immediate closure of your account. Kindly refer to the details provided below. The document is waiting for your signature and expires at midnight tonight. Verify your details using the form attached to this message. Click the secure link below to confirm your login credentials immediately. Urgent action is required to keep your subscription active. Please let me know if you need anything else from my side. Urgent action is required to keep your subscription active. !!!",1
