id,sender,subject,body,label
247,billing@notice-center.example.net,Information you requested,"Hi all, The office will be closed on Monday for the scheduled facilities maintenance. Confirm your password to restore full access to the customer portal. The document is waiting for your signature and expires at midnight tonight. Thanks for turning the draft around so quickly, the changes look good to me. The sprint retrospective has been moved to Thursday at eleven in the morning. Let me know if Tuesday afternoon works for the client walkthrough. The quarterly compliance training window opens at the start of next month. http://126.114.126.87/secure/login/verify.php https://corp.example.com/docs/q2-report http://security-alert.example.net/verify/account?id=94877 !",1
1980,service-desk@id-confirm.example.net,Security Alert: Unusual Login Detected,"Dear Customer, Confirm your password to restore full access to the customer portal. You have been selected to receive a limited time reward, claim it before it expires. Act now, this security notice will expire in a few hours. Regards and best wishes for the week ahead. Our security team detected an unauthorised attempt from a foreign IP address. https://vendor.example.org/drive/q2-report http://bit.example.net/940360 http://158.61.117.22/secure/login/verify.php <a href=""http://bit.example.net/300129"">Click here to verify</a>",1
1165,security@security-alert.example.net,Agenda for Friday's steering committee,"Hi all, The sprint retrospective has been moved to Thursday at eleven in the morning. Thank you for your time and attention to this matter. A payment of nine hundred dollars is awaiting your authorisation. Kindly refer to the details provided below. Please find attached the minutes from yesterday's project review meeting. https://hr.example.com/wiki/minutes",0
551,support@mail-service.example.net,Information you requested,"Dear Customer, We could not process your last payment, please resubmit your card details. Your package could not be delivered, reschedule using the tracking link. We appreciate your continued cooperation. Your account has been temporarily suspended due to unusual sign in activity. Thank you for your time and attention to this matter. http://134.165.201.186/secure/login/verify.php !!",1
271,r.krishnan@corp.example.com,Facilities maintenance - office closed Monday,"Hi Arun, I have shared the updated budget worksheet on the team drive for your comments. We will need one more reviewer before this pull request can be merged. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Kindly refer to the details provided below. Failure to respond will result in the immediate closure of your account. The design team has uploaded the latest mockups for a second opinion.",0
998,n.banerjee@finance.example.com,Updated budget worksheet for comment,"Hi Priya, Verify your details using the form attached to this message. Please review the risk register before Friday's steering committee call. Your mailbox storage is full and outgoing messages are being blocked. Your mailbox storage is full and outgoing messages are being blocked.",0
1339,team.updates@corp.example.com,Facilities maintenance - office closed Monday,"Hi Sam, The quarterly compliance training window opens at the start of next month. Let me know if Tuesday afternoon works for the client walkthrough. We will need one more reviewer before this pull request can be merged. Payroll has confirmed that the revised timesheets were processed on time. Attaching the agenda so everyone can add items ahead of the session. https://partners.example.com/wiki/checklist",0
2443,alerts@notice-center.example.net,Security Alert: Unusual Login Detected,"Dear Customer, This is your final notice regarding the pending transaction on your account. A payment of nine hundred dollars is awaiting your authorisation. Our security team detected an unauthorised attempt from a foreign IP address. You have been selected to receive a limited time reward, claim it before it expires. The document is waiting for your signature and expires at midnight tonight. Your package could not be delivered, reschedule using the tracking link. http://account-support.example.net/verify/account?id=86391 http://bit.example.net/798300 <a href=""http://bit.example.net/808310"">Click here to verify</a> !!!",1
1927,r.krishnan@partners.example.com,Facilities maintenance - office closed Monday,"Hi Arun, We will need one more reviewer before this pull request can be merged. Please find attached the minutes from yesterday's project review meeting. Further information is available on request. I have added your name to the distribution list for the monthly newsletter. https://hr.example.com/docs/checklist",0
73,s.iyer@vendor.example.org,Sprint retrospective moved to Thursday,"Hi Sam, The office will be closed on Monday for the scheduled facilities maintenance. Regards and best wishes for the week ahead. Further information is available on request. Click the secure link below to confirm your login credentials immediately. Attaching the agenda so everyone can add items ahead of the session. Attaching the agenda so everyone can add items ahead of the session. Our supplier has confirmed the revised delivery schedule for next quarter. Please find attached the minutes from yesterday's project review meeting. Our supplier has confirmed the revised delivery schedule for next quarter. Recruitment has scheduled three interviews for the analyst position. https://finance.example.com/invoices/checklist",0
